customer_id,event_date,event_type,recharge_amount,data_mb_used,call_duration_minutes,channel,offer_presented,offer_accepted
0011-IGKFF,2024-01-12,CALL,,,7.9,APP,,False
0011-IGKFF,2024-02-05,DATA_SESSION,,337.22,,APP,,False
0011-IGKFF,2024-02-17,CALL,,,1.5,USSD,,False
0011-IGKFF,2024-02-18,CALL,,,2.1,APP,,False
0011-IGKFF,2024-03-04,CALL,,,0.5,APP,,False
0013-EXCHZ,2024-01-09,CALL,,,2.0,APP,,False
0013-MHZWF,2024-01-13,SMS,,,,USSD,,False
0013-MHZWF,2024-01-15,DATA_SESSION,,725.07,,APP,,False
0013-MHZWF,2024-02-06,DATA_SESSION,,465.3,,USSD,,False
0013-MHZWF,2024-02-16,DATA_SESSION,,645.83,,USSD,,False
0013-MHZWF,2024-02-27,DATA_SESSION,,639.88,,USSD,,False
0013-MHZWF,2024-03-26,DATA_SESSION,,638.5,,AGENT,,False
0013-MHZWF,2024-03-27,DATA_SESSION,,639.37,,USSD,,False
0013-MHZWF,2024-03-28,RECHARGE,1000.0,,,APP,DATA_BUNDLE_5GB,False
0013-SMEOE,2024-01-16,DATA_SESSION,,309.35,,AGENT,,False
0013-SMEOE,2024-01-19,DATA_SESSION,,102.95,,WEB,,False
0013-SMEOE,2024-01-22,RECHARGE,1000.0,,,APP,,False
0013-SMEOE,2024-01-25,CALL,,,9.5,AGENT,,False
0013-SMEOE,2024-01-27,CALL,,,10.2,APP,,False
0013-SMEOE,2024-01-29,DATA_SESSION,,437.64,,USSD,,False
0013-SMEOE,2024-02-02,SMS,,,,USSD,,False
0013-SMEOE,2024-02-05,RECHARGE,1000.0,,,USSD,,False
0013-SMEOE,2024-02-08,CALL,,,8.1,AGENT,,False
0013-SMEOE,2024-02-13,RECHARGE,2000.0,,,APP,,False
0013-SMEOE,2024-02-18,DATA_SESSION,,294.77,,USSD,,False
0013-SMEOE,2024-02-20,RECHARGE,1000.0,,,APP,VOICE_TOPUP_100,False
0013-SMEOE,2024-02-22,DATA_SESSION,,413.17,,WEB,,False
0013-SMEOE,2024-02-26,CALL,,,9.2,USSD,,False
0013-SMEOE,2024-03-03,RECHARGE,1000.0,,,AGENT,,False
0013-SMEOE,2024-03-05,RECHARGE,1000.0,,,USSD,LOYALTY_BONUS,False
0013-SMEOE,2024-03-07,CALL,,,1.7,USSD,,False
0013-SMEOE,2024-03-09,DATA_SESSION,,618.0,,WEB,,False
0013-SMEOE,2024-03-10,RECHARGE,200.0,,,APP,WEEKEND_DATA,False
0013-SMEOE,2024-03-16,DATA_SESSION,,58.91,,AGENT,,False
0013-SMEOE,2024-03-20,DATA_SESSION,,289.72,,USSD,,False
0013-SMEOE,2024-03-21,SMS,,,,USSD,,False
0013-SMEOE,2024-03-23,CALL,,,3.2,APP,,False
0013-SMEOE,2024-03-27,DATA_SESSION,,511.51,,USSD,,False
0013-SMEOE,2024-03-28,DATA_SESSION,,600.86,,APP,,False
0014-BMAQU,2024-01-16,RECHARGE,200.0,,,APP,,False
0014-BMAQU,2024-01-22,CALL,,,4.0,USSD,,False
0014-BMAQU,2024-02-01,RECHARGE,200.0,,,USSD,LOYALTY_BONUS,True
0014-BMAQU,2024-02-07,RECHARGE,200.0,,,WEB,,False
0014-BMAQU,2024-02-12,SMS,,,,WEB,,False
0014-BMAQU,2024-02-19,CALL,,,4.1,APP,,False
0014-BMAQU,2024-03-11,CALL,,,1.4,USSD,,False
0014-BMAQU,2024-03-21,CALL,,,0.5,APP,,False
0014-BMAQU,2024-03-26,RECHARGE,500.0,,,USSD,,False
0014-BMAQU,2024-03-27,CALL,,,10.5,USSD,,False
0014-BMAQU,2024-03-30,DATA_SESSION,,236.87,,USSD,,False
0015-UOCOJ,2024-01-03,DATA_SESSION,,1263.71,,USSD,,False
0015-UOCOJ,2024-01-06,CALL,,,0.7,APP,,False
0015-UOCOJ,2024-01-07,SMS,,,,USSD,,False
0015-UOCOJ,2024-01-12,RECHARGE,100.0,,,WEB,,False
0015-UOCOJ,2024-01-18,CALL,,,14.5,USSD,,False
0015-UOCOJ,2024-01-24,RECHARGE,100.0,,,APP,,False
0015-UOCOJ,2024-02-01,DATA_SESSION,,574.1,,USSD,,False
0015-UOCOJ,2024-02-04,CALL,,,2.5,USSD,,False
0015-UOCOJ,2024-02-13,RECHARGE,100.0,,,APP,,False
0015-UOCOJ,2024-02-14,RECHARGE,100.0,,,APP,,False
0016-QLJIS,2024-01-24,RECHARGE,500.0,,,APP,,False
0016-QLJIS,2024-02-02,CALL,,,1.3,APP,,False
0016-QLJIS,2024-02-20,SMS,,,,AGENT,,False
0016-QLJIS,2024-03-02,DATA_SESSION,,892.7,,APP,,False
0016-QLJIS,2024-03-08,CALL,,,29.6,USSD,,False
0016-QLJIS,2024-03-10,DATA_SESSION,,1185.74,,APP,,False
0016-QLJIS,2024-03-11,DATA_SESSION,,940.03,,USSD,,False
0016-QLJIS,2024-03-16,DATA_SESSION,,1027.96,,AGENT,,False
0017-DINOC,2024-01-30,CALL,,,2.9,APP,,False
0017-DINOC,2024-02-10,CALL,,,4.2,USSD,,False
0017-DINOC,2024-02-13,CALL,,,0.5,APP,,False
0017-DINOC,2024-02-25,SMS,,,,APP,,False
0017-DINOC,2024-03-22,RECHARGE,5000.0,,,USSD,,False
0017-IUDMW,2024-01-02,DATA_SESSION,,736.42,,USSD,,False
0017-IUDMW,2024-01-07,DATA_SESSION,,364.59,,USSD,,False
0017-IUDMW,2024-01-11,CALL,,,16.8,USSD,,False
0017-IUDMW,2024-01-25,SMS,,,,AGENT,,False
0017-IUDMW,2024-01-28,DATA_SESSION,,584.76,,USSD,,False
0017-IUDMW,2024-02-06,CALL,,,5.3,USSD,,False
0017-IUDMW,2024-02-08,RECHARGE,200.0,,,USSD,,False
0017-IUDMW,2024-02-15,DATA_SESSION,,863.68,,APP,,False
0017-IUDMW,2024-02-20,DATA_SESSION,,534.93,,APP,,False
0017-IUDMW,2024-02-26,SMS,,,,AGENT,,False
0017-IUDMW,2024-02-27,DATA_SESSION,,348.61,,APP,,False
0017-IUDMW,2024-02-29,DATA_SESSION,,625.13,,AGENT,,False
0017-IUDMW,2024-03-03,RECHARGE,200.0,,,APP,,False
0017-IUDMW,2024-03-08,DATA_SESSION,,611.68,,USSD,,False
0017-IUDMW,2024-03-15,RECHARGE,200.0,,,AGENT,,False
0017-IUDMW,2024-03-19,DATA_SESSION,,397.28,,USSD,,False
0017-IUDMW,2024-03-23,RECHARGE,200.0,,,USSD,,False
0017-IUDMW,2024-03-24,CALL,,,13.3,AGENT,,False
0017-IUDMW,2024-03-27,CALL,,,9.3,APP,,False
0017-IUDMW,2024-03-30,RECHARGE,200.0,,,USSD,,False
0017-IUDMW,2024-03-31,RECHARGE,200.0,,,WEB,,False
0018-NYROU,2024-01-04,RECHARGE,2000.0,,,AGENT,,False
0018-NYROU,2024-01-19,DATA_SESSION,,943.59,,WEB,,False
0018-NYROU,2024-01-21,RECHARGE,2000.0,,,WEB,,False
0018-NYROU,2024-02-06,DATA_SESSION,,1145.2,,USSD,,False
0018-NYROU,2024-02-17,CALL,,,8.4,APP,,False
0018-NYROU,2024-02-20,RECHARGE,2000.0,,,USSD,,False
0018-NYROU,2024-02-23,CALL,,,5.5,USSD,,False
0018-NYROU,2024-03-02,DATA_SESSION,,827.44,,USSD,,False
0018-NYROU,2024-03-03,RECHARGE,200.0,,,USSD,,False
0018-NYROU,2024-03-05,DATA_SESSION,,1174.27,,APP,,False
0018-NYROU,2024-03-10,CALL,,,3.9,AGENT,,False
0018-NYROU,2024-03-24,DATA_SESSION,,937.64,,USSD,,False
0018-NYROU,2024-03-25,RECHARGE,2000.0,,,USSD,,False
0018-NYROU,2024-03-30,DATA_SESSION,,834.01,,USSD,,False
0019-EFAEP,2024-01-07,RECHARGE,500.0,,,AGENT,,False
0019-EFAEP,2024-01-09,RECHARGE,500.0,,,APP,,False
0019-EFAEP,2024-01-13,SMS,,,,APP,,False
0019-EFAEP,2024-01-28,DATA_SESSION,,181.34,,AGENT,,False
0019-EFAEP,2024-01-31,DATA_SESSION,,265.89,,APP,,False
0019-EFAEP,2024-02-01,CALL,,,18.1,APP,,False
0019-EFAEP,2024-02-05,DATA_SESSION,,164.35,,APP,,False
0019-EFAEP,2024-02-11,SMS,,,,APP,,False
0019-EFAEP,2024-02-13,RECHARGE,500.0,,,APP,,False
0019-EFAEP,2024-02-29,SMS,,,,USSD,,False
0019-EFAEP,2024-03-01,RECHARGE,5000.0,,,APP,,False
0019-GFNTW,2024-01-02,DATA_SESSION,,565.38,,USSD,,False
0019-GFNTW,2024-01-07,CALL,,,5.5,APP,,False
0019-GFNTW,2024-01-13,DATA_SESSION,,436.86,,APP,,False
0019-GFNTW,2024-01-17,CALL,,,2.8,USSD,,False
0019-GFNTW,2024-01-18,RECHARGE,100.0,,,USSD,,False
0019-GFNTW,2024-01-21,DATA_SESSION,,276.86,,AGENT,,False
0019-GFNTW,2024-01-22,RECHARGE,2000.0,,,USSD,,False
0019-GFNTW,2024-02-02,CALL,,,3.3,USSD,,False
0019-GFNTW,2024-02-05,DATA_SESSION,,759.24,,AGENT,,False
0019-GFNTW,2024-02-16,CALL,,,3.5,USSD,,False
0019-GFNTW,2024-02-17,DATA_SESSION,,588.33,,APP,,False
0019-GFNTW,2024-02-23,RECHARGE,2000.0,,,APP,,False
0019-GFNTW,2024-02-27,DATA_SESSION,,239.81,,APP,,False
0019-GFNTW,2024-03-01,RECHARGE,2000.0,,,AGENT,,False
0019-GFNTW,2024-03-05,SMS,,,,AGENT,,False
0019-GFNTW,2024-03-08,CALL,,,1.2,USSD,,False
0019-GFNTW,2024-03-15,DATA_SESSION,,443.99,,USSD,,False
0019-GFNTW,2024-03-20,RECHARGE,2000.0,,,AGENT,,False
0019-GFNTW,2024-03-29,SMS,,,,AGENT,,False
0020-INWCK,2024-01-03,RECHARGE,1000.0,,,APP,,False
0020-INWCK,2024-01-06,RECHARGE,5000.0,,,APP,,False
0020-INWCK,2024-02-16,DATA_SESSION,,165.82,,USSD,,False
0020-INWCK,2024-02-25,DATA_SESSION,,449.51,,WEB,,False
0020-INWCK,2024-03-04,DATA_SESSION,,338.42,,APP,,False
0020-INWCK,2024-03-16,CALL,,,3.2,APP,,False
0020-INWCK,2024-03-19,RECHARGE,1000.0,,,USSD,,False
0020-INWCK,2024-03-29,DATA_SESSION,,549.68,,USSD,,False
0020-JDNXP,2024-01-04,DATA_SESSION,,130.87,,APP,,False
0020-JDNXP,2024-02-23,CALL,,,5.3,APP,,False
0020-JDNXP,2024-03-13,CALL,,,7.7,USSD,,False
0020-JDNXP,2024-03-20,CALL,,,1.7,USSD,,False
0021-IKXGC,2024-01-02,CALL,,,5.9,USSD,,False
0021-IKXGC,2024-01-03,CALL,,,1.0,USSD,,False
0021-IKXGC,2024-01-15,CALL,,,4.0,USSD,,False
0021-IKXGC,2024-02-21,DATA_SESSION,,1100.01,,APP,,False
0021-IKXGC,2024-02-24,DATA_SESSION,,1602.16,,USSD,,False
0021-IKXGC,2024-03-06,DATA_SESSION,,1035.37,,USSD,,False
0021-IKXGC,2024-03-17,DATA_SESSION,,788.63,,USSD,,False
0021-IKXGC,2024-03-26,DATA_SESSION,,687.86,,USSD,,False
0022-TCJCI,2024-01-03,CALL,,,5.2,AGENT,,False
0022-TCJCI,2024-01-16,DATA_SESSION,,703.96,,AGENT,,False
0022-TCJCI,2024-01-20,DATA_SESSION,,934.08,,USSD,,False
0022-TCJCI,2024-02-04,DATA_SESSION,,791.06,,USSD,,False
0022-TCJCI,2024-02-19,DATA_SESSION,,744.51,,USSD,,False
0022-TCJCI,2024-03-06,RECHARGE,800.0,,,APP,,False
0022-TCJCI,2024-03-12,RECHARGE,600.0,,,AGENT,,False
0023-HGHWL,2024-01-22,RECHARGE,1000.0,,,USSD,,False
0023-HGHWL,2024-03-03,DATA_SESSION,,425.6,,APP,,False
0023-UYUPN,2024-01-20,SMS,,,,AGENT,,False
0023-UYUPN,2024-02-05,CALL,,,6.4,WEB,,False
0023-UYUPN,2024-02-28,SMS,,,,USSD,,False
0023-UYUPN,2024-03-06,SMS,,,,APP,,False
0023-UYUPN,2024-03-30,RECHARGE,500.0,,,USSD,,False
0023-XUOPT,2024-01-10,CALL,,,13.8,USSD,,False
0023-XUOPT,2024-01-11,DATA_SESSION,,835.55,,WEB,,False
0023-XUOPT,2024-01-13,RECHARGE,500.0,,,USSD,,False
0027-KWYKW,2024-01-16,CALL,,,11.2,USSD,,False
0027-KWYKW,2024-01-21,DATA_SESSION,,874.03,,USSD,,False
0027-KWYKW,2024-01-23,CALL,,,15.7,APP,,False
0027-KWYKW,2024-01-27,DATA_SESSION,,345.48,,USSD,,False
0027-KWYKW,2024-01-28,DATA_SESSION,,660.16,,WEB,,False
0027-KWYKW,2024-01-30,DATA_SESSION,,810.35,,USSD,,False
0027-KWYKW,2024-02-10,CALL,,,3.0,AGENT,,False
0027-KWYKW,2024-02-11,CALL,,,1.8,APP,,False
0027-KWYKW,2024-02-12,SMS,,,,USSD,,False
0027-KWYKW,2024-02-14,DATA_SESSION,,607.67,,AGENT,,False
0027-KWYKW,2024-02-19,DATA_SESSION,,765.66,,USSD,,False
0027-KWYKW,2024-02-20,CALL,,,6.1,USSD,,False
0027-KWYKW,2024-02-21,SMS,,,,USSD,,False
0027-KWYKW,2024-02-23,RECHARGE,200.0,,,APP,,False
0027-KWYKW,2024-02-26,CALL,,,0.7,APP,,False
0027-KWYKW,2024-03-01,DATA_SESSION,,1053.45,,USSD,,False
0027-KWYKW,2024-03-07,RECHARGE,200.0,,,USSD,VOICE_TOPUP_100,False
0027-KWYKW,2024-03-08,DATA_SESSION,,814.34,,USSD,,False
0027-KWYKW,2024-03-10,DATA_SESSION,,446.59,,WEB,,False
0027-KWYKW,2024-03-12,SMS,,,,USSD,,False
0027-KWYKW,2024-03-13,DATA_SESSION,,547.87,,APP,,False
0027-KWYKW,2024-03-19,DATA_SESSION,,698.67,,USSD,,False
0027-KWYKW,2024-03-21,CALL,,,10.2,APP,,False
0027-KWYKW,2024-03-22,CALL,,,4.2,APP,,False
0027-KWYKW,2024-03-24,DATA_SESSION,,868.42,,APP,,False
0027-KWYKW,2024-03-26,RECHARGE,1000.0,,,AGENT,,False
0030-FNXPP,2024-01-04,CALL,,,2.7,USSD,,False
0030-FNXPP,2024-01-12,CALL,,,6.6,USSD,,False
0030-FNXPP,2024-01-26,DATA_SESSION,,329.33,,USSD,,False
0030-FNXPP,2024-02-06,DATA_SESSION,,482.22,,APP,,False
0030-FNXPP,2024-02-08,CALL,,,0.8,APP,,False
0030-FNXPP,2024-02-09,CALL,,,0.6,AGENT,,False
0030-FNXPP,2024-02-11,RECHARGE,1000.0,,,AGENT,,False
0030-FNXPP,2024-02-16,RECHARGE,1000.0,,,USSD,,False
0030-FNXPP,2024-03-06,DATA_SESSION,,573.98,,APP,,False
0030-FNXPP,2024-03-07,DATA_SESSION,,243.43,,APP,,False
0030-FNXPP,2024-03-08,RECHARGE,1000.0,,,USSD,,False
0030-FNXPP,2024-03-12,DATA_SESSION,,394.65,,USSD,,False
0030-FNXPP,2024-03-14,DATA_SESSION,,489.4,,AGENT,,False
0030-FNXPP,2024-03-16,DATA_SESSION,,395.18,,USSD,,False
0030-FNXPP,2024-03-18,CALL,,,4.0,APP,,False
0030-FNXPP,2024-03-23,CALL,,,9.2,APP,,False
0030-FNXPP,2024-03-26,CALL,,,1.1,USSD,,False
0031-PVLZI,2024-01-09,DATA_SESSION,,1044.34,,USSD,,False
0031-PVLZI,2024-01-18,RECHARGE,2000.0,,,USSD,,False
0031-PVLZI,2024-02-07,RECHARGE,2000.0,,,APP,,False
0031-PVLZI,2024-02-22,RECHARGE,2000.0,,,USSD,,False
0031-PVLZI,2024-02-29,RECHARGE,2000.0,,,APP,,False
0031-PVLZI,2024-03-01,DATA_SESSION,,996.85,,USSD,,False
0032-PGELS,2024-01-09,CALL,,,22.1,USSD,,False
0032-PGELS,2024-01-14,DATA_SESSION,,188.33,,AGENT,,False
0032-PGELS,2024-03-04,RECHARGE,400.0,,,APP,,False
0032-PGELS,2024-03-25,CALL,,,10.2,USSD,,False
0036-IHMOT,2024-01-01,CALL,,,30.6,USSD,,False
0036-IHMOT,2024-01-02,CALL,,,6.2,APP,,False
0036-IHMOT,2024-01-06,DATA_SESSION,,225.33,,APP,,False
0036-IHMOT,2024-01-08,DATA_SESSION,,193.09,,APP,,False
0036-IHMOT,2024-01-09,CALL,,,5.7,USSD,,False
0036-IHMOT,2024-01-11,RECHARGE,5000.0,,,APP,DATA_BUNDLE_1GB,False
0036-IHMOT,2024-01-20,DATA_SESSION,,360.54,,USSD,,False
0036-IHMOT,2024-01-22,SMS,,,,USSD,,False
0036-IHMOT,2024-01-26,CALL,,,0.5,APP,,False
0036-IHMOT,2024-01-28,DATA_SESSION,,149.22,,USSD,,False
0036-IHMOT,2024-01-29,CALL,,,1.7,USSD,,False
0036-IHMOT,2024-01-30,CALL,,,2.9,WEB,,False
0036-IHMOT,2024-01-31,CALL,,,5.4,USSD,,False
0036-IHMOT,2024-02-03,DATA_SESSION,,191.16,,USSD,,False
0036-IHMOT,2024-02-04,SMS,,,,APP,,False
0036-IHMOT,2024-02-07,DATA_SESSION,,271.99,,USSD,,False
0036-IHMOT,2024-02-08,CALL,,,4.4,USSD,,False
0036-IHMOT,2024-02-15,CALL,,,1.3,USSD,,False
0036-IHMOT,2024-02-18,CALL,,,9.1,WEB,,False
0036-IHMOT,2024-02-19,DATA_SESSION,,324.44,,USSD,,False
0036-IHMOT,2024-02-20,DATA_SESSION,,459.62,,AGENT,,False
0036-IHMOT,2024-02-24,SMS,,,,APP,,False
0036-IHMOT,2024-02-28,RECHARGE,500.0,,,USSD,,False
0036-IHMOT,2024-02-29,SMS,,,,USSD,,False
0036-IHMOT,2024-03-08,CALL,,,12.8,APP,,False
0036-IHMOT,2024-03-09,CALL,,,1.6,APP,,False
0036-IHMOT,2024-03-12,SMS,,,,AGENT,,False
0036-IHMOT,2024-03-13,CALL,,,0.8,USSD,,False
0036-IHMOT,2024-03-16,DATA_SESSION,,393.74,,USSD,,False
0036-IHMOT,2024-03-21,CALL,,,5.8,APP,,False
0036-IHMOT,2024-03-22,RECHARGE,5000.0,,,USSD,,False
0036-IHMOT,2024-03-23,CALL,,,22.8,USSD,,False
0036-IHMOT,2024-03-26,SMS,,,,APP,,False
0040-HALCW,2024-01-15,DATA_SESSION,,628.15,,WEB,,False
0040-HALCW,2024-01-19,DATA_SESSION,,464.52,,USSD,,False
0040-HALCW,2024-02-14,RECHARGE,100.0,,,USSD,,False
0040-HALCW,2024-03-15,DATA_SESSION,,380.88,,USSD,,False
0040-HALCW,2024-03-20,SMS,,,,USSD,,False
0040-HALCW,2024-03-23,DATA_SESSION,,640.21,,AGENT,,False
0040-HALCW,2024-03-29,CALL,,,2.2,USSD,,False
0042-JVWOJ,2024-01-17,RECHARGE,5000.0,,,APP,VOICE_TOPUP_100,False
0042-JVWOJ,2024-01-21,DATA_SESSION,,286.57,,APP,,False
0042-JVWOJ,2024-02-21,SMS,,,,WEB,,False
0042-JVWOJ,2024-02-27,CALL,,,10.3,USSD,,False
0042-JVWOJ,2024-03-05,SMS,,,,USSD,,False
0042-RLHYP,2024-01-05,SMS,,,,USSD,,False
0042-RLHYP,2024-01-10,CALL,,,0.5,APP,,False
0042-RLHYP,2024-01-11,DATA_SESSION,,410.5,,APP,,False
0042-RLHYP,2024-02-04,RECHARGE,200.0,,,USSD,,False
0042-RLHYP,2024-02-07,RECHARGE,5000.0,,,USSD,,False
0042-RLHYP,2024-02-22,CALL,,,8.7,USSD,,False
0042-RLHYP,2024-02-25,RECHARGE,200.0,,,APP,DATA_BUNDLE_1GB,True
0042-RLHYP,2024-03-04,CALL,,,6.3,USSD,,False
0042-RLHYP,2024-03-05,DATA_SESSION,,437.94,,USSD,,False
0042-RLHYP,2024-03-08,DATA_SESSION,,236.34,,USSD,,False
0042-RLHYP,2024-03-09,SMS,,,,APP,,False
0042-RLHYP,2024-03-18,DATA_SESSION,,202.7,,APP,,False
0042-RLHYP,2024-03-22,CALL,,,16.4,AGENT,,False
0048-LUMLS,2024-01-02,CALL,,,0.8,AGENT,,False
0048-LUMLS,2024-01-03,DATA_SESSION,,70.12,,USSD,,False
0048-LUMLS,2024-01-14,SMS,,,,APP,,False
0048-LUMLS,2024-01-24,RECHARGE,200.0,,,APP,,False
0048-LUMLS,2024-02-06,RECHARGE,100.0,,,USSD,,False
0048-LUMLS,2024-02-11,SMS,,,,USSD,,False
0048-LUMLS,2024-02-25,SMS,,,,USSD,,False
0048-LUMLS,2024-03-05,DATA_SESSION,,59.83,,USSD,,False
0048-LUMLS,2024-03-12,RECHARGE,200.0,,,AGENT,,False
0048-PIHNL,2024-02-24,RECHARGE,5000.0,,,AGENT,,False
0048-PIHNL,2024-03-12,CALL,,,5.5,APP,,False
0048-PIHNL,2024-03-30,SMS,,,,USSD,,False
0052-DCKON,2024-01-02,RECHARGE,100.0,,,USSD,,False
0052-DCKON,2024-01-05,DATA_SESSION,,524.62,,APP,,False
0052-DCKON,2024-01-13,CALL,,,4.5,USSD,,False
0052-DCKON,2024-01-15,RECHARGE,100.0,,,APP,,False
0052-DCKON,2024-02-02,DATA_SESSION,,790.9,,AGENT,,False
0052-DCKON,2024-02-05,CALL,,,2.6,USSD,,False
0052-DCKON,2024-02-06,CALL,,,10.5,USSD,,False
0052-DCKON,2024-02-08,DATA_SESSION,,764.44,,APP,,False
0052-DCKON,2024-02-10,DATA_SESSION,,800.05,,USSD,,False
0052-DCKON,2024-02-12,RECHARGE,100.0,,,USSD,DATA_BUNDLE_5GB,True
0052-DCKON,2024-02-13,DATA_SESSION,,575.54,,USSD,,False
0052-DCKON,2024-02-18,CALL,,,9.5,USSD,,False
0052-DCKON,2024-02-25,RECHARGE,100.0,,,USSD,,False
0052-DCKON,2024-03-04,RECHARGE,200.0,,,USSD,,False
0052-DCKON,2024-03-05,CALL,,,3.9,APP,,False
0052-DCKON,2024-03-08,DATA_SESSION,,457.62,,USSD,,False
0052-DCKON,2024-03-12,CALL,,,6.1,USSD,,False
0052-DCKON,2024-03-13,CALL,,,14.8,AGENT,,False
0052-DCKON,2024-03-16,SMS,,,,USSD,,False
0052-DCKON,2024-03-18,DATA_SESSION,,736.38,,AGENT,,False
0052-DCKON,2024-03-28,CALL,,,14.2,APP,,False
0052-YNYOT,2024-01-08,CALL,,,8.5,USSD,,False
0052-YNYOT,2024-01-09,CALL,,,3.3,AGENT,,False
0052-YNYOT,2024-01-21,CALL,,,2.8,AGENT,,False
0052-YNYOT,2024-01-24,RECHARGE,1000.0,,,USSD,DATA_BUNDLE_1GB,False
0052-YNYOT,2024-01-30,CALL,,,2.5,APP,,False
0052-YNYOT,2024-02-13,DATA_SESSION,,440.78,,USSD,,False
0052-YNYOT,2024-03-01,DATA_SESSION,,619.93,,APP,,False
0052-YNYOT,2024-03-04,RECHARGE,1000.0,,,USSD,,False
0052-YNYOT,2024-03-28,RECHARGE,1000.0,,,USSD,WEEKEND_DATA,False
0056-EPFBG,2024-01-27,DATA_SESSION,,307.59,,USSD,,False
0056-EPFBG,2024-02-07,DATA_SESSION,,187.21,,USSD,,False
0056-EPFBG,2024-02-08,DATA_SESSION,,173.56,,USSD,,False
0056-EPFBG,2024-03-10,CALL,,,0.8,USSD,,False
0056-EPFBG,2024-03-23,RECHARGE,1000.0,,,USSD,,False
0056-EPFBG,2024-03-31,RECHARGE,1000.0,,,WEB,,False
0057-QBUQH,2024-01-05,DATA_SESSION,,1035.43,,USSD,,False
0057-QBUQH,2024-01-09,RECHARGE,5000.0,,,USSD,,False
0057-QBUQH,2024-01-10,DATA_SESSION,,3478.24,,USSD,,False
0057-QBUQH,2024-01-14,DATA_SESSION,,827.81,,USSD,,False
0057-QBUQH,2024-02-18,CALL,,,3.0,USSD,,False
0057-QBUQH,2024-02-28,DATA_SESSION,,858.44,,APP,,False
0057-QBUQH,2024-03-02,RECHARGE,2000.0,,,USSD,,False
0057-QBUQH,2024-03-04,RECHARGE,2000.0,,,USSD,,False
0057-QBUQH,2024-03-08,DATA_SESSION,,1167.9,,WEB,,False
0057-QBUQH,2024-03-25,DATA_SESSION,,1229.26,,APP,,False
0057-QBUQH,2024-03-30,CALL,,,28.4,AGENT,,False
0058-EVZWM,2024-01-08,RECHARGE,2000.0,,,USSD,,False
0058-EVZWM,2024-01-25,DATA_SESSION,,669.45,,APP,,False
0058-EVZWM,2024-02-05,DATA_SESSION,,1506.71,,USSD,,False
0058-EVZWM,2024-02-15,DATA_SESSION,,1152.91,,USSD,,False
0058-EVZWM,2024-02-18,DATA_SESSION,,2483.71,,APP,,False
0058-EVZWM,2024-02-23,CALL,,,6.8,USSD,,False
0058-EVZWM,2024-03-10,DATA_SESSION,,1020.77,,APP,,False
0060-FUALY,2024-01-13,RECHARGE,1000.0,,,APP,,False
0060-FUALY,2024-01-15,CALL,,,1.0,APP,,False
0060-FUALY,2024-01-19,CALL,,,9.4,WEB,,False
0060-FUALY,2024-01-27,RECHARGE,500.0,,,USSD,,False
0060-FUALY,2024-02-03,DATA_SESSION,,87.92,,WEB,,False
0060-FUALY,2024-02-06,CALL,,,0.5,APP,,False
0060-FUALY,2024-02-08,CALL,,,14.4,USSD,,False
0060-FUALY,2024-02-11,RECHARGE,500.0,,,APP,,False
0060-FUALY,2024-02-19,DATA_SESSION,,72.31,,USSD,,False
0060-FUALY,2024-02-24,RECHARGE,1000.0,,,APP,,False
